Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
56,No,Travel_Rarely,991,Research & Development,4,2,Human Resources,1,1,3,Male,80,4,2,Research Scientist,1,Single,6299,23188,1,Y,Yes,13,3,2,80,1,11,3,2,3,1,4,0
46,No,Travel_Frequently,371,Research & Development,1,3,Human Resources,1,2,2,Female,71,3,3,Manufacturing Director,3,Divorced,5784,18544,0,Y,No,22,4,4,80,0,11,2,4,3,1,2,1
32,No,Travel_Rarely,646,Research & Development,11,4,Medical,1,3,2,Female,55,1,4,Laboratory Technician,3,Married,2994,20168,2,Y,Yes,13,4,2,80,0,39,4,3,28,28,0,28
60,No,Non-Travel,1108,Research & Development,5,3,Life Sciences,1,4,3,Male,88,2,3,Research Director,4,Married,8005,28520,1,Y,No,24,1,4,80,2,38,1,3,36,35,2,33
25,No,Travel_Rarely,946,Research & Development,19,3,Marketing,1,5,4,Male,98,4,3,Laboratory Technician,3,Single,1705,24982,1,Y,Yes,21,3,4,80,0,21,2,3,19,15,0,13
38,No,Travel_Rarely,1117,Human Resources,19,4,Marketing,1,6,2,Male,32,3,4,Manager,3,Divorced,8424,21566,1,Y,No,16,1,4,80,0,40,3,3,40,37,4,35
56,No,Travel_Rarely,1407,Research & Development,4,3,Life Sciences,1,7,3,Female,70,4,3,Manager,4,Divorced,9437,16880,0,Y,No,21,1,2,80,3,25,3,4,22,20,4,18
36,No,Travel_Rarely,499,Research & Development,2,4,Technical Degree,1,8,3,Male,30,4,4,Research Scientist,3,Married,4324,22008,0,Y,No,18,2,4,80,0,22,3,2,17,16,0,16
40,No,Travel_Rarely,1341,Sales,7,4,Life Sciences,1,9,3,Male,94,3,4,Manager,4,Single,1194,13936,2,Y,Yes,15,3,3,80,2,31,3,3,24,22,1,20
28,No,Travel_Rarely,1446,Sales,28,2,Medical,1,10,4,Female,99,4,2,Sales Executive,3,Married,8504,27342,1,Y,No,24,3,3,80,3,7,2,3,0,0,2,0
28,Yes,Travel_Rarely,915,Sales,13,3,Medical,1,11,3,Male,79,1,3,Manager,2,Single,14544,20411,5,Y,Yes,11,3,3,80,1,27,4,3,14,10,3,10
41,No,Non-Travel,740,Research & Development,20,3,Technical Degree,1,12,4,Female,88,2,3,Research Director,3,Single,13544,14198,0,Y,No,13,3,3,80,2,40,3,1,33,29,1,29
53,Yes,Travel_Rarely,594,Research & Development,21,4,Life Sciences,1,13,2,Female,92,4,4,Manager,1,Divorced,6630,10376,5,Y,Yes,23,3,4,80,3,18,4,2,19,15,1,15
57,No,Travel_Rarely,1052,Research & Development,12,3,Other,1,14,4,Male,54,2,3,Manager,2,Married,10945,3896,1,Y,No,18,2,3,80,3,40,2,3,36,36,13,35
41,No,Non-Travel,229,Research & Development,2,5,Marketing,1,15,2,Female,39,4,5,Research Director,2,Married,12824,13487,1,Y,Yes,14,2,4,80,1,29,3,3,26,25,0,25
20,No,Travel_Frequently,175,Research & Development,22,3,Technical Degree,1,16,1,Male,30,4,3,Manager,3,Divorced,15698,4404,1,Y,Yes,19,3,2,80,1,35,3,4,21,18,13,17
39,No,Travel_Rarely,553,Research & Development,9,3,Human Resources,1,17,2,Female,43,4,3,Manufacturing Director,2,Married,11549,20923,1,Y,No,23,3,3,80,1,1,2,4,4,1,0,0
19,No,Travel_Rarely,539,Sales,16,3,Marketing,1,18,2,Male,50,3,3,Sales Representative,2,Married,3092,19116,2,Y,No,16,2,3,80,2,40,4,3,33,29,1,29
41,No,Travel_Rarely,1381,Research & Development,8,3,Human Resources,1,19,3,Female,87,4,3,Laboratory Technician,2,Married,3441,11813,1,Y,No,20,4,3,80,3,37,0,3,38,35,3,34
47,No,Travel_Rarely,549,Sales,24,3,Life Sciences,1,20,3,Male,67,2,3,Sales Executive,1,Divorced,3728,2577,2,Y,No,14,3,4,80,2,4,3,4,2,0,0,0
55,No,Travel_Rarely,1227,Sales,18,4,Medical,1,21,4,Female,30,3,4,Manager,1,Single,15833,20545,1,Y,No,14,3,4,80,1,24,3,3,16,15,0,13
19,Yes,Travel_Rarely,660,Research & Development,4,3,Life Sciences,1,22,1,Female,34,3,3,Laboratory Technician,2,Divorced,3016,10569,3,Y,No,20,3,3,80,1,20,3,3,23,22,1,22
38,No,Travel_Frequently,1071,Sales,24,2,Life Sciences,1,23,3,Male,73,3,2,Manager,2,Divorced,12122,22232,2,Y,Yes,15,3,4,80,0,30,3,3,23,22,12,20
50,No,Travel_Rarely,1038,Research & Development,11,2,Other,1,24,3,Female,94,1,2,Laboratory Technician,1,Single,3465,19692,1,Y,Yes,23,3,3,80,0,7,1,4,2,0,2,0
29,No,Travel_Rarely,384,Research & Development,17,4,Life Sciences,1,25,3,Male,86,4,4,Manager,2,Married,3379,14384,4,Y,No,17,3,1,80,2,8,3,3,6,6,3,5
39,No,Travel_Rarely,861,Sales,8,4,Medical,1,26,1,Male,74,4,4,Manager,4,Divorced,9078,2841,4,Y,No,24,3,3,80,0,37,2,1,24,22,5,20
42,No,Travel_Rarely,1329,Research & Development,19,3,Medical,1,27,1,Male,89,4,3,Manager,3,Married,13633,20555,8,Y,No,22,4,3,80,0,6,2,2,2,1,5,1
44,No,Travel_Rarely,187,Human Resources,8,4,Medical,1,28,3,Male,95,2,4,Human Resources,3,Divorced,5419,26731,0,Y,No,17,3,4,80,2,26,2,4,14,13,5,11
59,No,Travel_Rarely,1449,Research & Development,6,3,Medical,1,29,4,Male,76,3,3,Research Director,4,Divorced,11385,8253,4,Y,No,23,3,1,80,0,40,2,2,28,27,2,25
45,No,Travel_Rarely,265,Research & Development,23,4,Technical Degree,1,30,4,Female,55,4,4,Laboratory Technician,1,Married,4323,14340,5,Y,No,20,3,3,80,3,29,3,3,28,25,0,24
33,No,Non-Travel,978,Research & Development,2,3,Life Sciences,1,31,1,Male,38,4,3,Manager,3,Married,9036,28278,2,Y,No,17,3,1,80,0,19,4,2,9,9,1,8
32,No,Travel_Rarely,1182,Research & Development,15,2,Life Sciences,1,32,2,Female,80,4,2,Laboratory Technician,4,Divorced,2959,12827,2,Y,Yes,15,3,2,80,3,31,2,3,31,29,1,28
20,No,Travel_Rarely,307,Research & Development,1,5,Marketing,1,33,2,Male,37,4,5,Manufacturing Director,3,Married,7661,21769,7,Y,No,22,3,3,80,1,32,2,3,22,21,0,20
54,No,Non-Travel,249,Research & Development,6,3,Technical Degree,1,34,3,Female,34,3,3,Research Scientist,4,Single,5544,6821,7,Y,No,23,3,2,80,0,40,2,1,38,34,0,32
24,No,Non-Travel,1426,Sales,28,4,Medical,1,35,3,Female,68,3,4,Sales Executive,4,Single,6508,24197,2,Y,No,19,1,4,80,2,3,3,2,8,8,10,6
