Feature,Linear,Ridge,Lasso,ElasticNet
longitude,-53826.648016493666,-53713.6515925709,-53823.758865294156,-22441.644773634314
latitude,-54415.696144498324,-54298.400415186494,-54412.79462357853,-22000.370572160755
housing_median_age,13889.866188563119,13890.472329199005,13889.799420909987,13342.930879524218
total_rooms,-13094.25116219494,-13058.643741155685,-13092.146765887766,52.314988226454695
total_bedrooms,43068.18184187068,42978.32840347632,43065.90192342553,21025.59974283444
population,-43403.432427319065,-43389.968779288545,-43402.70147665065,-32112.1487299123
households,18382.19632373349,18425.41255041547,18381.73448272927,16963.779557778264
median_income,75167.77476624792,75157.63575175892,75167.27949208194,69536.16160447247
ocean_proximity_INLAND,-18506.09522508622,-18538.725530233747,-18506.95488833943,-27414.381183740083
ocean_proximity_ISLAND,2118.4375715424617,2119.2491656328716,2118.3584259074833,2250.042440200356
ocean_proximity_NEAR BAY,-1621.7050178644567,-1616.2222605466484,-1621.3768830355812,784.9003821462317
ocean_proximity_NEAR OCEAN,1139.9055918672425,1146.564025722315,1140.0110929895447,3295.9823285716625
